Species,Run Type,Migration Year,Abundance
Chum,Summer,2008,28500
Chum,Summer,2009,205000
Chum,Summer,2010,
Chum,Summer,2011,347598
Chum,Summer,2012,290890
Chum,Summer,2013,285469
Chum,Summer,2014,480201
Chum,Summer,2015,130125
Chum,Summer,2016,47478
Chum,Summer,2017,200710
Chum,Summer,2002,1009536
Chum,Summer,2004,2430222
Chum,Summer,2005,3975395
Chum,Summer,2007,4885210
Chum,Summer,2008,167830
Chum,Summer,2009,413214
Chum,NA,2008,127424
Chum,NA,2009,608277
Chum,NA,2010,23567
Chum,Summer,2008,184322
Chum,Summer,2009,364267
Chum,Summer,2010,103803
Chum,Summer,2011,392595
Chum,Summer,2012,642296
Chum,Summer,2013,1213927
Chum,Summer,2014,1532376
Chinook,Fall,2005,529521
Chinook,Fall,2006,139399
Chinook,Fall,2007,4014
Chinook,Fall,2008,10780
Chinook,Fall,2009,407
Chinook,Fall,2010,150431
Chinook,Fall,2011,157002
Chinook,Fall,2012,69571
Chinook,Fall,2013,36209
Chinook,Fall,2014,61614
Chinook,Fall,2015,13229
Chinook,Fall,2017,60780
Chinook,Fall,2018,9336
Chinook,Fall,2019,1075
Chinook,Fall,2020,569
Chinook,Fall,2021,43437
Chinook,Fall,2022,10839
Chinook,Fall,2005,2882618
Chinook,Fall,2006,166532
Chinook,Fall,2007,977
Chinook,Fall,2008,17129
Chinook,Fall,2009,4318
Chinook,Fall,2010,23515
Chinook,Fall,2011,162600
Chinook,Fall,2012,266272
Chinook,Fall,2013,15586
Chinook,Fall,2014,204769
Chinook,Fall,2015,71349
Chinook,Fall,2017,32341
Chinook,Fall,2018,11275
Chinook,Fall,2019,2512
Chinook,Fall,2020,833
Chinook,Fall,2021,2656
Chinook,Fall,2022,7079
Chinook,Fall,2005,246475
Chinook,Fall,2006,398073
Chinook,Fall,2007,20424
Chinook,Fall,2008,29995
Chinook,Fall,2009,7896
Chinook,Fall,2010,207644
Chinook,Fall,2011,435340
Chinook,Fall,2012,400592
Chinook,Fall,2013,56852
Chinook,Fall,2014,89005
Chinook,Fall,2015,132524
Chinook,Fall,2016,101662
Chinook,Fall,2017,236730
Chinook,Fall,2018,10523
Chinook,Fall,2019,611
Chinook,Fall,2021,40943
Chinook,Spring,1996,23446
Chinook,Spring,1997,134206
Chinook,Spring,1998,51913
Chinook,Spring,1999,36717
Chinook,Spring,2000,136920
Chinook,Spring,2001,156545
Chinook,Spring,2002,119673
Chinook,Spring,2003,254368
Chinook,Spring,2004,225164
Chinook,Spring,2005,123292
Chinook,Spring,2006,135498
Chinook,Spring,2007,98274
Chinook,Spring,2008,57493
Chinook,Spring,2009,99326
Chinook,Spring,2010,60413
Chinook,Spring,2011,2695
Chinook,Spring,2012,73082
Chinook,Spring,2013,144458
Chinook,Fall,2005,52126
Chinook,Fall,2006,71779
Chinook,Fall,2007,194366
Chinook,Fall,2008,102910
Chinook,Fall,2009,
Chinook,Fall,2010,450405
Chinook,Fall,2011,308944
Chinook,Fall,2012,245008
Chinook,Fall,2013,138272
Chinook,Fall,2014,2197157
Chinook,Fall,2015,41998
Chinook,Fall,2016,45023
Chinook,Fall,2017,308421
Chinook,Fall,2018,233977
Chum,Fall,2002,
Chum,Fall,2003,25478
Chum,Fall,2004,45450
Chum,Fall,2005,27814
Chum,Fall,2006,31213
Chum,Fall,2007,29707
Chum,Fall,2008,25659
Chum,Fall,2009,27569
Chum,Fall,2010,32161
Chum,Fall,2011,29657
Chum,Fall,2012,61519
Chum,Fall,2013,36160
Chum,Fall,2014,34514
Chum,Fall,2015,48213
Chum,Fall,2016,65557
Chum,Fall,2017,
Chum,Fall,2019,56775
Chum,Fall,2022,216608
Chum,Fall,2001,118016
Chum,Fall,2002,561462
Chum,Fall,2003,485813
Chum,Fall,2004,396413
Chum,Fall,2005,164092
Chum,Fall,2006,103979
Chum,Fall,2007,
Chum,Fall,2008,
Chum,Fall,2009,
Chum,Fall,2010,
Coho,NA,1998,38354
Coho,NA,1999,27987
Coho,NA,2000,20282
Coho,NA,2001,24138
Coho,NA,2002,35001
Coho,NA,2003,33145
Coho,NA,2004,37947
Coho,NA,2005,59721
Coho,NA,2006,47311
Coho,NA,2007,34386
Coho,NA,2008,
Coho,NA,2009,69393
Coho,NA,2010,54231
Coho,NA,2011,56791
Coho,NA,2012,44047
Coho,NA,2013,52656
Coho,Fall,2001,6698
Coho,Fall,2002,4720
Coho,Fall,2003,9626
Coho,Fall,2004,6448
Coho,Fall,2005,11764
Coho,Fall,2006,5175
Coho,Fall,2007,5202
Coho,Fall,2008,5700
